rho_c_0,q,A_vec,m,target
2.888038262973773,4.419259243879372,3.919267600964568,1.6505049715241968,-30.299340042873215
3.001402460040841,2.8154586070139787,1.9776509695217264,1.7006468017698864,-9.800344214312645
4.515840780066494,1.782919243980457,2.9863026515542352,1.1632887325673984,-20.66509742300241
3.709500686623492,1.2788532423906882,2.6079789674592693,2.3529977346286333,-5.279754181883678
4.214204021525648,1.9332553743372167,1.2375060553538422,3.284517825255939,-3.099157453596221
2.658756843979906,2.6326081684446803,2.330242940767611,1.1127302435172006,-14.655956336230885
3.8249760370860497,3.644357389447973,1.9127606158734567,1.3921650817571407,-19.165338633613
1.7533051416013956,4.144686365342641,1.4007870788742398,2.307119216544776,-4.435327009922226
1.8437219447670752,1.5148101096083455,2.8444281101799187,2.258755417914955,-3.5209921893114395
3.085245171374858,4.186748275355502,3.746431760194351,4.4283624521458185,-10.928208411653888
1.4113489820273584,1.9373482672613047,4.013012639849934,2.8915508115322264,-3.8042729203864982
1.6739717289640588,2.3549729978395813,4.636434405856384,4.1261781661935615,-4.392727064387191
4.087224375408513,1.9884086752609296,2.172176682132988,1.440845421907026,-12.242924070047968
1.6471554727090236,1.1452935858849735,4.772248071459669,3.3921095045307013,-2.6744208459058343
1.879505681675204,3.9662354102379815,1.5287148510479658,4.294939599451114,-2.6439259278974085
3.33260909865756,2.3289046707005374,3.913015478403216,3.1123314998791907,-9.758999396886182
3.797009701773464,1.7151417775503477,2.6245180530257395,3.276507783163113,-5.220662410158616
1.030718321300612,1.1372132843139062,1.1267098139654266,2.0769757027296203,-0.6283676406205474
2.896382561991889,2.5342049445906087,2.0121832121331105,2.897767694440406,-5.108354136101972
4.439781445115108,3.018780277528574,4.181824878878268,1.905605907972352,-29.400954460702486
2.5310871826118144,2.128059821079829,4.331052306310877,1.5600428978315763,-14.989444317718204
4.92193867087308,1.8949442884212016,1.943072771369872,3.1561966326014206,-5.7316100303931945
4.284169736549105,4.172140358217833,3.7677113260305615,4.044952644048248,-16.647977200821362
2.6861985965993527,2.320231388367357,3.791571348713149,1.8177658759863964,-12.997760867481245
3.5232443476034687,3.3621749450665432,2.026872830083946,4.871464706680717,-4.920655209970378
4.302326328727237,3.239629983031283,2.4575223259186743,1.4220710836063462,-24.081786333269225
2.082938412934772,4.0033513745983305,3.5361631265050013,4.313233572420483,-6.821096326233385
1.7174806161742349,4.665146183810594,1.9762056359937568,1.4065646851242837,-11.23583868240093
1.882198140215524,2.494466657987561,1.4863877249572692,3.265114049148825,-2.1397500034592833
3.9511357543960526,2.4074006066367675,4.54275546553583,1.6795230172719835,-25.748788505450364
2.5726609258185387,4.863670562006988,3.160353950141704,2.1357312066565366,-18.516398275656044
4.801461029787408,3.091612434140135,4.627043437937671,3.146368106151796,-21.82775407455804
4.01906130470789,1.7660208038087086,3.057443512307522,1.1879648663513591,-18.263197799468713
2.9871231671985488,3.6123143729701943,3.695855397890244,1.5731526966267912,-25.335316062809206
1.886172454324856,4.754006706210141,2.723173538775651,1.2083312476560786,-20.194784965285873
1.80171795846512,4.745227608233634,4.809358760972684,1.9976241866683784,-20.594445251707477
3.770965489887935,2.257135863991411,1.1250697476956055,4.9450575299051405,-1.9493116193815536
2.8532730918489952,1.8791696138731857,3.3719074522778434,4.6371072181989295,-3.9020684928291725
2.2600450292498286,1.9348645167455367,3.231733045372381,2.7697288955529595,-5.085215697576257
4.433513787817214,3.6940257674039874,4.070776216797649,2.5153735552338667,-26.510104455359087
3.4076164990622217,4.482940095911847,4.604223951414305,4.79511330240938,-14.649991512740433
3.65283190961961,2.12881409321298,2.244089122915652,3.515348063451301,-4.967606082392314
1.4996663062615652,3.8194936870692415,2.5199706821538994,3.670279533571366,-3.938388846987427
1.4002890789994642,2.3424721805001165,3.564359106320345,4.295870258639777,-2.7076962347566718
2.1810581695782325,2.34601235211838,1.322023535961177,3.102450355970184,-2.1808672445244435
3.0780731251651634,3.0086324885680624,3.5073989469772275,4.100969492324073,-7.878089688156679
3.258817546710596,3.525686400740852,1.0662982625915056,3.325525353860799,-3.689341788900679
2.197767716326092,2.3579424694496907,1.3811547148617551,1.703813422977083,-4.169139165091302
3.611573423165917,2.958157246139609,1.455955228725618,2.6046880107887485,-5.978602142579331
1.5676285312765268,4.162395726923199,3.9923797952126088,1.9467068123770903,-13.352934280754894
2.7554137530922502,2.691631882705904,2.1723870555079823,3.233942461829685,-4.963126705612281
3.3439052851432294,4.777508656229589,4.986467588206733,4.08717973772119,-19.465592519430835
1.3151622206650542,3.690329595324709,3.890792360021344,2.6674746838903345,-7.051003634331542
2.9516334595174905,4.392685526459125,2.006732224659621,4.025803002297569,-6.470581915475811
4.888109614677496,2.6188731507310865,4.358718955006888,3.472972763143143,-16.087244323213273
2.16609492111231,4.074603995215344,2.932291317584859,4.917354646852374,-5.277138958742793
2.7799842942596964,4.634774980454037,3.9808648336027104,1.5544674420318327,-33.00356343954801
4.3241925776729655,2.8088332742784545,1.1016038937952182,1.355310518029993,-9.862464897534455
1.1737616488910416,4.732012938792368,4.913889085635123,4.405234743778018,-6.173766171457101
3.102164380158196,2.8896881752718047,1.1868908181351032,3.411831453550856,-3.1126485647267415
1.7741004891229908,1.5625237146324125,4.1105134386912665,1.2297763061107818,-9.272302691651342
3.3923534820159045,2.1142494659219,3.6865596999897896,3.4306424023515487,-7.70018302097237
3.177854176595264,2.5301453202337165,2.1877612010738634,2.7822569087611093,-6.342191897048779
1.409215789675259,1.2674909901929068,1.2869682395370678,1.003906004572034,-2.2918181998352294
4.228973080225188,2.347117378049308,4.340340318042504,4.45161321416176,-9.68797974646824
3.3489663492983617,1.924041171105128,3.2979341674433367,1.4533607939440267,-14.617103804031144
3.1940655284212607,2.6937286067836355,4.529912128612192,1.5247288096249498,-25.55455693039505
2.045812107676728,4.7392146579458165,1.5929494011125618,4.879277770869988,-3.1482872373364783
3.833073061069317,1.4565450670938132,1.2035720465216753,1.7009481996310445,-4.000219058219866
2.106890899731819,4.9067248818717335,1.5405123228750583,1.1482562070846851,-13.886337831701294
1.8236118782642337,4.9752148350359775,2.768433325271607,1.6741638224519644,-14.981140922273797
2.2872602735948115,2.961523345992592,4.708228397125053,4.7847507482330265,-6.6231390033156945
